Novel_Name,Series_Name,Author_Name,Genre,Average_Rating,No_of_Ratings,No_of_Reviews,Score,No_of_Votes,Publish_Year,Pages
A Discovery of Witches ,All Souls,Deborah Harkness ,Romance,4.02,"4,82,566","44,361","6,430",73,"February 8, 2011",579
The Winter Rose ,The Tea Rose,Jennifer Donnelly ,Romance,4.33,"23,116","1,643",784,10,"January 8, 2008",736
Sweet Justice ,Last Chance Rescue,Christy Reece ,Romance,4.25,"2,508",106,623,7,"January 1, 2011",400
New Moon ,The Twilight Saga,Stephenie Meyer,Romance,3.59,"18,88,840","56,874",982,13,"September 6, 2006",563
Poison Study ,Study,Maria V. Snyder ,Romance,4.1,"1,64,263","13,449","1,350",16,"September 27, 2005",427
The Darkest Passion ,Lords of the Underworld,Gena Showalter ,Romance,4.34,"41,582","1,390","3,097",37,"January 1, 2010",438
Dream a Little Dream ,Chicago Stars,Susan Elizabeth Phillips ,Romance,4.16,"34,538","1,557","6,393",95,"February 1, 1998",400
If You Desire ,MacCarrick Brothers,Kresley Cole ,Romance,4.07,"9,577",381,618,8,"April 24, 2007",356
Ella Enchanted ,Ella Enchanted,Gail Carson Levine ,Romance,4.01,"4,10,947","12,072",980,12,"April 25, 1997",240
Hopeless ,Hopeless,Colleen Hoover ,Romance,4.26,"5,37,558","38,524","33,772",366,"December 18, 2012",410
Son of the Morning,,Linda Howard,Romance,3.98,"7,798",487,"1,878",29,"January 1, 1997",374
Jackson Rule,,Dinah McCall,Romance,4.08,"2,103",141,784,10,"January 1, 1996",353
Soulless ,Parasol Protectorate,Gail Carriger ,Romance,3.9,"1,09,917","11,045",614,8,"September 4, 2009",357
Memoirs of a Geisha,,Arthur Golden,Romance,4.15,"19,78,556","35,431","33,764",359,"January 1, 1997",503
Prince of Wolves ,The Grey Wolves,Quinn Loftis ,Romance,4.03,"38,809","2,927","3,093",36,"June 29, 2011",230
P.S. I Love You ,P.S. I Love You,Cecelia Ahern,Romance,4.03,"3,78,304","9,707","6,387",82,"February 3, 2004",501
Driven ,Driven,K. Bromberg ,Romance,4.25,"61,325","4,521","1,349",19,"May 8, 2013",327
The Unsung Hero ,Troubleshooters,Suzanne Brockmann ,Romance,4.05,"14,708",901,979,13,"June 6, 2000",416
Half-Blood ,Covenant,Jennifer L. Armentrout ,Romance,4.1,"1,01,921","7,686","1,868",26,"October 18, 2011",281
The Secret Diaries of Miss Miranda Cheever ,Bevelstoke,Julia Quinn ,Romance,3.88,"44,510","2,387",779,11,"June 1, 2007",373
The Bridges of Madison County,,Robert James Waller,Romance,3.68,"95,648","6,010","6,384",87,"April 13, 1992",224
Forever ,The Wolves of Mercy Falls,Maggie Stiefvater ,Romance,3.89,"1,23,092","8,532",613,7,"July 12, 2011",390
Tiger's Curse ,The Tiger Saga,Colleen Houck ,Romance,4.05,"63,582","6,241","1,345",16,"January 11, 2011",403
Rock Chick Reckoning ,Rock Chick,Kristen Ashley ,Romance,4.41,"31,044","1,692","3,032",37,"November 13, 2011",484
The Tenant of Wildfell Hall,,Anne Brontë,Romance,4.01,"1,13,506","7,337",979,10,"June 1, 1848",576
Shiver ,The Wolves of Mercy Falls,Maggie Stiefvater ,Romance,3.76,"4,77,893","24,768","30,776",326,"August 1, 2009",392
Destiny Binds ,Timber Wolves Trilogy,Tammy Blackwell ,Romance,3.98,"8,908",613,778,10,"March 3, 2011",232
Secrets of a Summer Night ,Wallflowers,Lisa Kleypas ,Romance,4.02,"75,430","5,009","6,269",77,"October 26, 2004",384
Visions of Heat ,Psy-Changeling,Nalini Singh ,Romance,4.08,"39,884","2,390","1,856",26,"March 6, 2007",332
Murder List ,Buchanan-Renard,Julie Garwood,Romance,4.06,"17,316",682,612,9,"August 31, 2004",425
The Iron King ,The Iron Fey,Julie Kagawa ,Romance,3.88,"2,11,708","13,288",977,15,"January 19, 2010",363
"Red, White & Royal Blue",,Casey McQuiston ,Romance,4.1,"9,32,614","1,09,446","1,340",17,"May 14, 2019",423
Rules of Attraction ,Perfect Chemistry,Simone Elkeles ,Romance,4.18,"87,676","4,012","3,028",52,"April 13, 2010",336
Point of Retreat ,Slammed,Colleen Hoover ,Romance,4.16,"2,21,465","12,362",612,9,"February 25, 2012",322
The Coincidence of Callie & Kayden ,The Coincidence,Jessica Sorensen ,Romance,4.16,"1,15,946","6,600","6,233",77,"December 13, 2012",283
Onyx ,Lux,Jennifer L. Armentrout ,Romance,4.24,"1,79,963","11,627",778,10,"August 14, 2012",421
Girl with a Pearl Earring,,Tracy Chevalier ,Romance,3.92,"7,29,788","12,282",977,12,"January 1, 1999",233
No Rest for the Wicked ,Immortals After Dark,Kresley Cole ,Romance,4.27,"58,164","2,131","1,336",22,"October 31, 2006",356
Bed of Roses ,Bride Quartet,Nora Roberts ,Romance,4.12,"63,378","2,556","3,026",38,"October 26, 2009",335
The Nanny Song,,Misty Mount ,Romance,4.24,807,39,"1,846",20,"August 1, 2016",320
On Dublin Street ,On Dublin Street,Samantha Young ,Romance,4.16,"1,97,085","10,717","30,502",332,"August 31, 2012",372
Allegiant ,Divergent,Veronica Roth ,Romance,3.6,"10,35,458","70,546",612,7,"October 22, 2013",531
Just Like Heaven ,Smythe-Smith Quartet,Julia Quinn ,Romance,3.94,"55,366","3,583",774,12,"May 31, 2011",374
Looking for Alaska,,John Green ,Romance,3.97,"15,65,192","74,127","1,840",25,"March 3, 2005",221
Halfway to the Grave ,Night Huntress,Jeaniene Frost ,Romance,4.13,"1,56,800","8,521","27,124",289,"November 1, 2007",358
Sweet Dreams ,Colorado Mountain,Kristen Ashley ,Romance,4.37,"48,521","3,279","2,965",37,"April 23, 2011",657
Cry No More,,Linda Howard,Romance,4.14,"15,265",,"6,049",86,,
The Golden Dynasty ,Fantasyland,Kristen Ashley ,Romance,4.35,"31,649","3,021","1,332",16,"August 22, 2011",456
El Diablo II ,El Diablo,M.  Robinson,Romance,4.2,"2,195",499,976,10,"September 6, 2020",310
Red Queen ,Red Queen,Victoria Aveyard ,Romance,4.01,"9,75,758","66,385",771,10,"February 10, 2015",388
Corelli's Mandolin,,Louis de Bernières,Romance,4.01,"86,224","3,402","1,834",36,"January 1, 1994",437
Water for Elephants,,Sara Gruen ,Romance,4.11,"15,96,625","62,062","26,014",279,"May 22, 2006",368
Somebody to Love ,Gideon's Cove,Kristan Higgins ,Romance,4.04,"12,799",943,610,10,"April 24, 2012",425
Inner Harbor ,Chesapeake Bay Saga,Nora Roberts ,Romance,4.18,"34,346",814,975,16,"December 1, 1998",324
The Kiss Quotient ,The Kiss Quotient,Helen Hoang ,Romance,3.91,"4,22,809","46,060","1,329",16,"June 5, 2018",323
Beautiful Creatures ,Caster Chronicles,Kami Garcia ,Romance,3.77,"5,95,145","22,948","2,960",36,"December 1, 2009",563
The Secret ,Highlands' Lairds,Julie Garwood,Romance,4.25,"52,427","2,416","5,979",74,"January 1, 1992",379
Not Another Bad Date ,Writer Friends,Rachel Gibson ,Romance,3.88,"11,238",447,770,13,"May 27, 2008",377
Pleasure of a Dark Prince ,Immortals After Dark,Kresley Cole ,Romance,4.38,"44,478","1,536","1,327",21,"January 25, 2010",431
A Seacat's Love,,Jessica A.  Kong ,Romance,4.47,55,14,970,10,"May 1, 2014",238
The Truth About Forever,,Sarah Dessen ,Romance,4.12,"2,22,186","8,933","25,839",275,"May 11, 2004",374
Simple Jess ,Tales from Marrying Stone,Pamela Morsi ,Romance,4.1,"3,779",379,768,15,"April 1, 1996",325
Black Lies,,Alessandra Torre ,Romance,4.26,"31,199","4,765",609,9,"August 14, 2014",290
Lover Enshrined ,Black Dagger Brotherhood,J.R. Ward ,Romance,4.11,"1,16,710","4,758","1,828",29,"June 3, 2008",560
At Peace ,The 'Burg,Kristen Ashley ,Romance,4.46,"29,627","2,167","1,325",16,"May 2, 2011",660
Lord of Scoundrels ,Scoundrels,Loretta Chase,Romance,4.09,"36,371","3,377","5,957",77,"January 1, 1995",375
The Night Circus,,Erin Morgenstern ,Romance,4.02,"9,51,859","1,01,043","2,958",36,"September 13, 2011",400
Fallen in Love ,Fallen,Lauren Kate ,Romance,3.75,"45,487","2,006",965,12,"January 24, 2012",201
The Air He Breathes ,Elements,Brittainy C. Cherry ,Romance,4.15,"63,244","7,391",964,13,"September 25, 2015",308
The Bronze Horseman ,The Bronze Horseman,Paullina Simons,Romance,4.3,"85,159","9,053","25,538",266,"July 17, 2000",912
The Unidentified Redhead ,Redhead,Alice Clayton ,Romance,4.02,"29,513","2,378",607,8,"January 1, 2010",276
The Blue Castle,,L.M. Montgomery,Romance,4.3,"42,621","6,451","1,808",30,"January 1, 1926",218
Down London Road ,On Dublin Street,Samantha Young ,Romance,4.2,"53,732","3,444",766,12,"May 7, 2013",384
The Law of Attraction ,Lawyers in Love,N.M. Silber ,Romance,3.76,"11,515",924,"2,950",31,"July 22, 2013",242
Lover Mine ,Black Dagger Brotherhood,J.R. Ward ,Romance,4.39,"1,12,469","4,557","5,889",71,"April 27, 2010",528
Edenbrooke ,Edenbrooke,Julianne Donaldson ,Romance,4.32,"52,840","10,106","1,308",16,"March 27, 2012",264
Rush ,Breathless,Maya Banks ,Romance,3.88,"80,571","4,825","1,802",25,"February 5, 2013",396
Midnight Awakening ,Midnight Breed,Lara Adrian ,Romance,4.23,"42,507","1,192",962,17,"November 27, 2007",369
Kiss an Angel,,Susan Elizabeth Phillips ,Romance,4.18,"63,467","5,228","25,125",274,"February 1, 1996",384
Truly Madly Yours ,"Truly, Idaho",Rachel Gibson ,Romance,3.93,"13,829",520,606,10,"January 1, 1999",384
True Betrayals,,Nora Roberts ,Romance,4.05,"14,323",429,"1,786",24,"June 13, 1995",400
Ten Ways to Be Adored When Landing a Lord ,Love By Numbers,Sarah MacLean ,Romance,3.88,"26,987","2,053","1,307",18,"October 26, 2010",357
Island of the Swans,,Ciji Ware ,Romance,3.78,"2,185",180,762,9,"January 1, 1989",592
Bear Necessities ,Halle Shifters,Dana Marie Bell ,Romance,3.95,"8,888",366,603,9,"July 17, 2010",292
The Lucky One,,Nicholas Sparks ,Romance,4.12,"3,58,924","10,858","2,941",41,"January 1, 2007",326
Jewels of the Sun ,Gallaghers of Ardmore,Nora Roberts ,Romance,4.22,"65,082","1,579","5,827",73,"November 1, 1999",347
It Had to Be You ,Chicago Stars,Susan Elizabeth Phillips ,Romance,4.01,"66,449","2,856","24,515",273,"January 1, 1994",376
Much Ado About Nothing,,William Shakespeare,Romance,4.06,"2,41,706","5,566","1,785",35,"January 1, 1598",246
The Rose Garden,,Susanna Kearsley ,Romance,4.03,"32,210","3,345",944,13,"April 15, 2011",476
Unleashed ,Ross Siblings,Cherrie Lynn ,Romance,3.87,"31,261","1,172","5,779",69,"April 21, 2009",216
Untamed ,MacKinnon's Rangers,Pamela Clare ,Romance,4.24,"3,981",356,"1,298",14,"November 25, 2008",347
So Over You,,Gwen Hayes,Romance,3.84,"7,709",306,758,9,"April 25, 2010",226
Sweet Reward ,Last Chance Rescue,Christy Reece ,Romance,4.31,"1,899",83,603,7,"December 27, 2011",338
Tempt Me at Twilight ,The Hathaways,Lisa Kleypas ,Romance,4.16,"45,622","2,792","2,935",40,"October 1, 2009",373
Rising Tides ,Chesapeake Bay Saga,Nora Roberts ,Romance,4.17,"34,053",848,"1,781",26,"August 1, 1998",330
Dark Desires After Dusk ,Immortals After Dark,Kresley Cole ,Romance,4.34,"48,017","1,672",757,14,"May 20, 2008",368
Falling Under ,Falling Under,Gwen Hayes,Romance,3.78,"16,548","1,321",938,10,"March 1, 2011",324
Reason to Breathe ,Breathing,Rebecca    Donovan ,Romance,4.21,"92,550","6,308","24,310",263,"May 10, 2011",377
It Ends with Us ,It Ends with Us,Colleen Hoover ,Romance,4.19,"30,96,375","2,37,063","1,777",23,"August 2, 2016",386
Smooth Talking Stranger ,Travises,Lisa Kleypas ,Romance,4.14,"40,797","2,148","5,758",78,"January 1, 2009",340
Shadows ,Lux,Jennifer L. Armentrout ,Romance,4.1,"41,867","3,312","1,289",17,"February 20, 2012",179
Marked ,House of Night,P.C. Cast ,Romance,3.81,"4,89,805","16,104",603,9,"May 1, 2007",306
Carolina Moon,,Nora Roberts ,Romance,4.08,"45,031","1,097","2,888",35,"March 6, 2000",470
An Abundance of Katherines,,John Green ,Romance,3.52,"5,24,942","27,489",753,9,"September 21, 2006",229
The Edge of Never ,The Edge of Never,J.A. Redmerski ,Romance,4.22,"1,48,144","11,450","22,568",252,"November 13, 2012",426
What I Did for a Duke ,Pennyroyal Green,Julie Anne Long ,Romance,4.16,"14,610","1,389","1,277",30,"February 22, 2011",365
Dancing on Coals,,Ellen O'Connell ,Romance,4.15,"4,921",503,937,25,"October 18, 2011",320
The Marriage Bargain ,Marriage to a Billionaire,Jennifer Probst ,Romance,3.79,"1,10,687","4,615","5,716",73,"August 17, 2010",160
A Bend in the Road,,Nicholas Sparks ,Romance,4.04,"1,55,724","4,646","1,773",35,"September 18, 2001",341
Heir of Fire ,Throne of Glass,Sarah J. Maas ,Romance,4.47,"7,39,091","54,241",602,7,"September 2, 2014",576
Emma,,Jane Austen,Romance,4.05,"8,66,355","31,344","22,406",240,"December 23, 1815",474
Sea Swept ,Chesapeake Bay Saga,Nora Roberts ,Romance,4.23,"61,076","1,516","2,882",48,"January 1, 1998",330
Clockwork Prince ,The Infernal Devices,Cassandra Clare ,Romance,4.43,"5,45,683","30,724",753,9,"December 6, 2011",498
Just One Drop ,The Grey Wolves,Quinn Loftis ,Romance,4.46,"18,613",817,"1,276",15,"February 4, 2012",239
It's Not Summer Without You ,Summer,Jenny Han ,Romance,3.8,"4,86,424","33,622",601,7,"April 27, 2010",275
Bully ,Fall Away,Penelope Douglas ,Romance,3.89,"1,90,097","13,887","1,770",24,"June 17, 2013",333
Stepbrother Dearest,,Penelope Ward ,Romance,4.04,"69,499","6,520",936,14,"September 23, 2014",230
Kissed by an Angel/The Power of Love/Soulmates ,Kissed by an Angel,Elizabeth Chandler,Romance,4.08,"26,664","1,779","5,484",62,"January 1, 1995",704
Out of the Dark ,The Grey Wolves,Quinn Loftis ,Romance,4.48,"16,080",665,751,9,"June 3, 2012",253
Vicious ,Sinners of Saint,L.J. Shen ,Romance,3.97,"1,31,222","11,600","1,275",18,"December 27, 2016",339
Flat-Out Love ,Flat-Out Love,Jessica Park ,Romance,4,"59,294","5,487","21,391",229,"April 11, 2011",355
Beautiful Stranger ,Beautiful Bastard,Christina Lauren ,Romance,4.14,"93,140",,"1,767",26,,
Saving Grace,,Julie Garwood,Romance,4.26,"28,292","1,132","2,880",40,"October 1, 1993",407
These Broken Stars ,Starbound,Amie Kaufman ,Romance,3.89,"69,525","8,947",600,8,"December 10, 2013",389
On the Way to the Wedding ,Bridgertons,Julia Quinn ,Romance,3.84,"1,23,475","7,960","1,753",25,"June 27, 2006",371
Dead Until Dark ,Sookie Stackhouse,Charlaine Harris ,Romance,3.97,"5,36,262","20,001","2,874",36,"May 1, 2001",292
Love in the Time of Cholera,,Gabriel García Márquez,Romance,3.93,"4,97,094","26,753",750,10,"November 1, 1985",348
Let it Snow,,John Green ,Romance,3.68,"1,48,151","13,088",935,11,"October 2, 2008",353
The Guardian,,Nicholas Sparks ,Romance,4.16,"1,80,672","5,958","1,267",18,"January 1, 2003",224
Flowers from the Storm,,Laura Kinsale ,Romance,4.08,"15,922","1,814","5,482",66,"January 1, 1992",533
Angles - Part I,,Erin Lockwood ,Romance,4.33,61,18,600,6,,
Leaving Paradise ,Leaving Paradise,Simone Elkeles ,Romance,4,"43,059","2,504","20,617",223,"April 1, 2007",312
Welcome to Temptation ,Dempseys,Jennifer Crusie ,Romance,3.94,"33,391","1,280","2,871",38,"March 1, 2000",416
Vicious Circles ,Wrong Reasons,J.L. Paul ,Romance,4.02,"2,977",88,927,12,"September 7, 2011",161
Beautifully Damaged ,Beautifully Damaged,L.A. Fiore ,Romance,3.98,"29,978","1,881","1,266",15,"August 28, 2012",345
This Lullaby,,Sarah Dessen ,Romance,4.02,"1,78,286","5,434","20,064",224,"May 27, 2002",345
Mirage,,Nilakshi Garg ,Romance,4.45,130,76,600,6,"January 15, 2020",308
Lover Avenged ,Black Dagger Brotherhood,J.R. Ward ,Romance,4.36,"1,14,923","4,329","5,477",85,"April 28, 2009",527
When He Was Wicked ,Bridgertons,Julia Quinn ,Romance,4,"1,68,295","11,138","1,748",24,"June 29, 2004",368
Temptation ,Temptation,K.M. Golland ,Romance,4.15,"5,451",551,748,8,"December 12, 2012",182
Christmas in Smithville ,Hometown,Kirsten Fullmer ,Romance,4.31,988,61,"1,263",14,"December 1, 2017",217
Clockwork Angel ,The Infernal Devices,Cassandra Clare ,Romance,4.31,"8,21,141","41,514","20,037",219,"August 31, 2010",479
Mockingjay ,The Hunger Games,Suzanne Collins,Romance,4.08,"31,39,951","1,26,082",924,12,"August 24, 2010",390
Dark Prince ,Dark,Christine Feehan ,Romance,4,"57,325","2,980","2,867",34,"March 8, 1999",447
Rescue Me ,Last Chance Rescue,Christy Reece ,Romance,3.96,"5,197",288,743,9,"January 1, 2009",362
Hometown Girl at Heart ,Hometown,Kirsten Fullmer ,Romance,4.3,"4,130",59,"1,261",14,"July 15, 2014",321
A Kingdom of Dreams ,Westmoreland,Judith McNaught,Romance,4.21,"53,172","2,806","19,622",213,"March 1, 1989",438
"Whitney, My Love ",Westmoreland,Judith McNaught,Romance,4.12,"36,308","2,605","2,864",37,"January 1, 1985",736
The Masqueraders,,Georgette Heyer,Romance,4.07,"8,607",845,598,8,"January 1, 1928",416
Poughkeepsie ,Poughkeepsie Brotherhood,Debra Anastasia ,Romance,3.91,"12,491","1,634",922,12,"November 20, 2011",372
The Mighty Storm ,The Storm,Samantha Towle ,Romance,4.15,"73,277","3,866","5,444",66,"September 7, 2012",442
Not Quite a Husband ,The Marsdens,Sherry Thomas ,Romance,3.82,"9,687","1,000","1,255",16,"May 19, 2009",341
Katherine,,Anya Seton,Romance,4.2,"33,297","2,275","1,747",21,"January 1, 1954",500
The Song of Achilles,,Madeline Miller ,Romance,4.33,"13,98,474","1,50,095",742,8,"September 20, 2011",408
While It Lasts ,Sea Breeze,Abbi Glines ,Romance,4.22,"56,953",,"1,742",23,,
Remembrance,,Jude Deveraux,Romance,4.01,"7,895",397,598,8,"January 1, 1994",432
Crash ,Crash,Nicole  Williams ,Romance,3.97,"60,891","3,333","2,859",36,"July 18, 2012",296
A Rogue by Any Other Name ,The Rules of Scoundrels,Sarah MacLean ,Romance,3.92,"43,118","3,519",915,14,"February 28, 2012",386
Matched ,Matched,Ally Condie ,Romance,3.63,"7,70,230","35,668","19,457",208,"November 30, 2010",369
Castles ,Crown's Spies,Julie Garwood,Romance,4.14,"16,705",568,741,10,"January 1, 1993",354
The Marriage Trap ,Marriage to a Billionaire,Jennifer Probst ,Romance,3.88,"29,968","1,451","1,739",22,"October 2, 2012",328
The Mane Attraction ,Pride,Shelly Laurenston,Romance,4.27,"14,106",597,"1,251",16,"November 1, 2008",320
The Wall of Winnipeg and Me,,Mariana Zapata ,Romance,4.22,"2,39,464","25,865","2,848",44,"February 28, 2016",475
Ashes of Midnight ,Midnight Breed,Lara Adrian ,Romance,4.16,"25,350",857,598,10,"May 26, 2009",368
Romancing Mister Bridgerton ,Bridgertons,Julia Quinn ,Romance,3.92,"2,62,848","19,469","5,418",66,"July 1, 2002",370
The Vincent Boys ,The Vincent Boys,Abbi Glines ,Romance,3.95,"74,305","3,957","18,660",206,"October 12, 2011",260
Birthright,,Nora Roberts ,Romance,4.06,"28,514","1,070","1,247",19,"March 31, 2003",502
Trying to Score ,Assassins,Toni Aleo ,Romance,4.03,"13,740",885,914,11,"April 10, 2012",478
The Mistake ,Off-Campus,Elle Kennedy ,Romance,4.02,"3,51,946","25,750",740,11,"January 1, 2015",296
Flat-Out Sexy ,Fast Track,Erin McCarthy ,Romance,3.94,"13,070",778,"2,799",33,"October 30, 2008",291
Seduce Me at Sunrise ,The Hathaways,Lisa Kleypas ,Romance,4.06,"43,185","2,703","5,415",67,"September 30, 2008",360
Romeo and Juliet,,William Shakespeare,Romance,3.74,"25,60,593","30,382","18,319",197,"January 1, 1597",281
Lead ,Stage Dive,Kylie Scott ,Romance,4.26,"49,087","4,167",914,14,"July 29, 2014",305
Beautiful Player ,Beautiful Bastard,Christina Lauren ,Romance,4.25,"73,267","4,779","1,730",24,"October 29, 2013",432
Release Me ,Stark Trilogy,J. Kenner ,Romance,4.11,"79,825","3,391","1,243",18,"January 1, 2013",345
Perfect Timing ,Kendrick/Coulter/Harrigan,Catherine Anderson ,Romance,4.11,"2,374",413,597,7,"January 1, 2013",422
Blue-Eyed Devil ,Travises,Lisa Kleypas ,Romance,4.19,"37,614","2,215","5,326",69,"March 25, 2008",336
The Velvet Promise ,Velvet Montgomery Annuals Tetralogy,Jude Deveraux,Romance,3.98,"15,048",581,735,12,"January 1, 1981",320
The Champion,,Carla Capshaw ,Romance,4.23,543,52,597,8,"January 1, 2011",284
Making Faces,,Amy Harmon ,Romance,4.3,"74,450","9,495","2,786",43,"October 12, 2013",405
The Spymaster's Lady ,Spymasters,Joanna Bourne ,Romance,4,"8,020","1,028","1,230",14,"January 2, 2008",373
The Fiery Cross ,Outlander,Diana Gabaldon ,Romance,4.25,"2,08,083","8,707",914,11,"November 6, 2001",1443
Firelight ,Firelight,Sophie Jordan ,Romance,3.85,"68,062","4,845","5,267",60,"September 7, 2010",323
Losing Hope ,Hopeless,Colleen Hoover ,Romance,4.17,"2,05,945","13,266","1,726",24,"July 8, 2013",321
Eternal Eden ,Eden Trilogy,Nicole  Williams ,Romance,3.78,"12,724",765,723,10,"March 1, 2011",394
The DUFF: Designated Ugly Fat Friend ,Hamilton High,Kody Keplinger ,Romance,3.8,"1,92,946","12,870","18,146",196,"September 7, 2010",280
Caught,,Christina J. Michaels ,Romance,4.1,213,29,597,6,"November 1, 2017",314
Lola and the Boy Next Door ,Anna and the French Kiss,Stephanie Perkins ,Romance,3.91,"1,63,655","15,455",913,13,"September 29, 2011",338
Dreams Come True,,Bridgitte Lesley ,Romance,4.22,275,19,"5,267",53,"April 4, 2014",254
Warrior's Woman ,Ly-San-Ter,Johanna Lindsey,Romance,4.01,"9,621",487,910,12,"January 1, 1990",448
The Gift ,Crown's Spies,Julie Garwood,Romance,4.17,"19,967",716,"1,230",19,"January 1, 1991",373
The Grunt 1 ,The Lonely Hearts,Latrivia S. Nelson,Romance,4.12,"2,789",167,"1,722",36,"July 25, 2011",326
One Plus One,,Jojo Moyes ,Romance,3.96,"1,72,417","13,504",597,7,"February 26, 2014",368
Unearthly ,Unearthly,Cynthia Hand ,Romance,4.01,"1,26,869","7,951","2,761",37,"January 4, 2011",435
Heartless,,Marissa Meyer ,Romance,4.09,"1,89,885","31,213",722,9,"November 8, 2016",453
Just the Sexiest Man Alive,,Julie James ,Romance,3.92,"44,738","2,303","18,001",204,"October 7, 2008",296
Sweet Release ,Blakewell/Kenleigh Family Trilogy,Pamela Clare ,Romance,3.88,"3,497",335,910,11,"February 1, 2003",
Northanger Abbey,,Jane Austen,Romance,3.85,"3,92,474","20,443","5,267",64,"December 20, 1817",260
Kiss of Midnight ,"Midnight Breed, ",Lara Adrian ,Romance,3.92,"65,015","3,083","1,230",20,"May 1, 2007",402
The Scribbler Guardian ,Arks Of Octava,Lucian Bane ,Romance,4.26,298,108,595,6,"February 12, 2015",247
Demon from the Dark ,Immortals After Dark,Kresley Cole ,Romance,4.43,"47,222","1,777","1,708",25,"August 24, 2010",430
Sophie & Carter,,Chelsea Fine ,Romance,3.82,"13,694",773,"2,753",33,"January 13, 2011",117
Beyond Nostalgia,,Tom Winton ,Romance,3.57,463,72,"1,695",17,"February 9, 2011",222
Something About You ,FBI/US Attorney,Julie James ,Romance,3.94,"61,702","2,824","17,986",198,"March 2, 2010",307
Can't Help Falling in Love ,"San Francisco Sullivans, #3; The Sullivans",Bella Andre ,Romance,4.18,"15,563",659,721,9,"December 1, 2011",200
Last Sacrifice ,Vampire Academy,Richelle Mead ,Romance,4.37,"2,85,110","12,525",909,12,"December 7, 2010",594
Angelfall ,Penryn & the End of Days,Susan Ee ,Romance,4.11,"1,90,230","17,404","1,230",21,"May 21, 2011",288
Virgin River ,Virgin River,Robyn Carr ,Romance,4.02,"70,647","5,555","5,265",65,"March 27, 2007",386
Splintered Courage,,J.E. Sawyer ,Romance,3.89,82,29,595,6,"June 1, 2018",127
Fury ,New Species,Laurann Dohner,Romance,4.11,"32,056","1,987","2,750",32,"July 27, 2011",376
Breathe ,Colorado Mountain,Kristen Ashley ,Romance,4.33,"37,439","2,437",907,14,"January 1, 2012",554
The Summer I Turned Pretty ,Summer,Jenny Han ,Romance,3.77,"7,27,085","61,410","17,686",191,"May 5, 2009",276
Nauti Boy ,Nauti,Lora Leigh,Romance,4.04,"10,795",434,"1,685",20,"March 1, 2007",294
To All the Boys I've Loved Before ,To All the Boys I've Loved Before,Jenny Han ,Romance,4.05,"8,67,952","48,763","1,224",16,"April 15, 2014",355
The Choice,,Nicholas Sparks ,Romance,4.01,"1,81,301","8,664",721,9,"September 30, 2007",325
Stardust,,Neil Gaiman ,Romance,4.1,"4,45,271","25,132","5,262",66,"February 1, 1999",248
Suddenly You,,Lisa Kleypas ,Romance,3.94,"29,058","2,141","2,741",38,"December 17, 2000",384
Surrender ,"MacKinnon’s Rangers, ",Pamela Clare ,Romance,4.05,"6,589",690,"1,678",20,"February 28, 2006",355
Making Chase ,Chase Brothers,Lauren Dane,Romance,4.11,"8,002",407,720,10,"June 6, 2007",237
Mine to Possess ,Psy-Changeling,Nalini Singh ,Romance,4.08,"31,265","1,741",594,8,"February 5, 2008",328
Anna Karenina,,Leo Tolstoy,Romance,4.09,"8,32,921","34,276","1,223",14,"January 1, 1878",964
Along for the Ride,,Sarah Dessen ,Romance,4.04,"2,06,154","8,642","17,420",190,"June 16, 2009",383
Safe Haven,,Nicholas Sparks ,Romance,4.22,"3,78,902","14,926","5,256",82,"January 1, 2010",353
The Wreck,,Marie Force ,Romance,4.21,"5,418",410,906,12,"March 6, 2011",312
The Bride ,Lairds' Fiancées,Julie Garwood,Romance,4.23,"65,939","3,252","17,402",189,"July 1, 1989",352
Down to You ,The Bad Boys,Michelle Leighton ,Romance,4.03,"66,322","3,356","1,677",24,"July 11, 2013",215
Wings ,Wings,Aprilynne Pike,Romance,3.76,"80,678","5,308",900,14,"May 5, 2009",290
Gaudy Night ,Lord Peter Wimsey,Dorothy L. Sayers,Romance,4.2,"29,318","2,339",720,8,"January 1, 1935",383
The Great Gatsby,,F. Scott Fitzgerald,Romance,3.93,"51,07,657","1,01,193","2,738",41,"April 10, 1925",180
After Forever Ends,,Melodie Ramone ,Romance,4.05,"1,541",241,"5,196",52,"October 1, 2012",564
Call Me Irresistible ,"Wynette, Texas",Susan Elizabeth Phillips ,Romance,4.1,"24,095","1,756","16,826",185,"December 31, 2010",385
The Duchess Deal ,Girl Meets Duke,Tessa Dare ,Romance,4,"57,619","7,954",594,7,"August 22, 2017",389
Hostage to Pleasure ,Psy-Changeling,Nalini Singh ,Romance,4.19,"31,778","1,579","1,222",18,"September 2, 2008",330
The Witness,,Nora Roberts ,Romance,4.24,"82,149","5,786","1,672",28,"April 17, 2012",757
Prodigy ,Legend,Marie Lu ,Romance,4.23,"2,59,220","19,167",719,9,"January 29, 2013",371
The Flame and the Flower ,Birmingham,Kathleen E. Woodiwiss,Romance,4.04,"19,049","1,142","2,722",34,"January 1, 1972",430
Lover Reborn ,Black Dagger Brotherhood,J.R. Ward ,Romance,4.33,"82,455","4,970","1,202",20,"March 27, 2012",572
All My Life ,First Things,Rucy Ban ,Romance,3.52,"1,766",207,900,9,"May 2, 2013",155
